gj,nwpri_pca,genuine_dep_pca,poverty_incidence,open_defecation_pct_rgnbc,san_deficit,water_deficit,uninsured_rate,literacy_rate,ntd_pov_belt,buruli_focus,oncho_highrisk,total_pop,n_mmda,DISTRICT,lisa,lisa_p_fdr
KRACHI EAST MUNICIPAL,1.427,1.193,41.2,50.6,57.2,37.0,45.86999999999999,56.48,1,0,1,110435,1,KRACHI EAST MUNICIPAL,Not significant,0.0826
KRACHI NCHUMURU,1.551,1.7649999999999997,47.2,50.6,57.199999999999996,37.0,60.02000000000001,52.21,1,0,1,79934,1,KRACHI NCHUMURU,High-High,0.0124
KRACHI WEST,1.347,0.666,37.4,50.6,57.2,37.0,25.3,58.85,1,0,1,61128,1,KRACHI WEST,High-High,0.0294
KROWOR MUNICIPAL,-1.207,-1.076,12.4,4.9,8.799999999999997,1.5,43.14,92.86,0,0,0,143012,1,KROWOR MUNICIPAL,Not significant,0.0783
KUMASI METROPOLITAN,-1.048,-1.396,8.9,9.3,18.599999999999994,3.299999999999997,22.55,89.18,0,0,0,443945,1,KUMASI METROPOLITAN,Low-Low,0.0079
KUMBUNGU,1.818,1.41,45.0,70.6,74.1,29.40000000000001,35.69,49.28999999999999,1,0,1,110586,1,KUMBUNGU,High-High,0.0124
KWABRE EAST,-1.013,-1.239,10.6,9.3,18.599999999999994,3.299999999999997,24.41,87.11,0,0,0,296814,1,KWABRE EAST,Low-Low,0.0159
KWADASO MUNICIPAL,-1.036,-1.466,9.5,9.3,18.599999999999994,3.299999999999997,21.67,91.57,0,0,0,154526,1,KWADASO MUNICIPAL,Low-Low,0.0079
KWAEBIBIREM,-0.5510000000000002,-0.736,19.6,5.7,26.5,12.700000000000005,20.02,79.62,0,0,0,121698,1,KWAEBIBIREM,Not significant,0.1513
KWAHU AFRAM PLAINS NORTH,0.044,1.451,48.5,5.7,26.5,12.700000000000005,48.1,57.77,0,0,0,66555,1,KWAHU AFRAM PLAINS NORTH,Not significant,0.4112
KWAHU AFRAM PLAINS SOUTH,-0.149,1.003,39.1,5.7,26.5,12.700000000000005,44.69,59.45,0,0,0,74002,1,KWAHU AFRAM PLAINS SOUTH,Not significant,0.3426
