district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,urban,geojson_district,gap_merged_for_map
85,Ekumfi,CENTRAL,District,5.28914455,-0.908864632637807,56741,31.5,45.6,32.59,67.41,59.34,51.79,82.94,0,EKUMFI,0
86,Gomoa Central,CENTRAL,District,5.47699369999999,-0.589745989100534,82592,18.8,44.1,21.23,78.77,45.73,45.96,72.1,0,GOMOA CENTRAL,0
87,Gomoa East,CENTRAL,District,5.47699369999999,-0.589745989100534,308697,14.4,43.7,14.0,86.0,44.5,48.4,62.35,0,GOMOA EAST,0
88,Gomoa West,CENTRAL,District,5.38725545,-0.833638570821268,129512,28.3,44.4,30.44,69.56,50.47,49.05,78.12,0,GOMOA WEST,0
89,Komenda Edina Eguafo Abirem Municipal,CENTRAL,Municipal,5.1302015,-1.43995928979516,166017,25.1,44.2,26.06,73.94,45.3,49.94,71.61,1,KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,0
90,Mfantsiman Municipal,CENTRAL,Municipal,5.27644145,-1.03472089878279,168905,24.0,44.8,23.38,76.62,39.69,51.22,69.23,1,MFANTSEMAN MUNICIPAL,0
91,Twifo Ati Morkwa,CENTRAL,District,5.61529845,-1.57822136908747,100851,34.1,42.7,27.22,72.78,44.01,49.29,72.45,0,TWIFO ATTI-MORKWA,0
92,Twifo Heman Lower Denkyira,CENTRAL,District,5.49471475,-1.53636464977824,66075,32.1,42.4,25.88,74.12,55.39,45.72,70.72,0,TWIFO HEMANG LOWER DENKYIRA,0
93,Upper Denkyira East Municipal,CENTRAL,Municipal,5.83523424999999,-1.73920835777296,110141,24.3,43.8,21.21,78.79,27.9,50.8,65.3,1,UPPER DENKYIRA EAST MUNICIPAL,0
94,Upper Denkyira West,CENTRAL,District,6.10783305,-2.06931071266353,91025,24.5,43.6,28.16,71.84,48.34,43.64,60.73,0,UPPER DENKYIRA WEST,0
95,Abuakwa North Municipal,EASTERN,Municipal,6.2336986,-0.382588987736012,76195,15.7,42.9,14.47,85.53,20.35,51.68,62.23,1,ABUAKWA NORTH,0
96,Abuakwa South Municipal,EASTERN,Municipal,6.1727705,-0.470361048613095,89051,21.1,43.4,19.44,80.56,21.98,51.29,62.49,1,ABUAKWA SOUTH,0
97,Achiase,EASTERN,District,5.8354534,-0.9966928,56348,29.9,44.6,25.7,74.3,31.76,51.87,73.22,0,ACHIASE,0
98,Akwapim North Municipal,EASTERN,Municipal,5.9014961,-0.14597334325382,105315,20.1,43.2,14.53,85.47,21.47,58.37,58.62,1,AKWAPEM NORTH,0
99,Akwapim South Municipal,EASTERN,Municipal,8.25846,0.508747,76922,19.4,43.5,15.17,84.83,30.66,51.9,55.43,1,AKWAPEM SOUTH,0
100,Akyemansa,EASTERN,District,6.0815994,-1.11546439579942,91038,23.6,42.4,27.68,72.32,26.48,43.6,73.18,0,AKYEM MANSA,0
101,Asene Manso Akroso,EASTERN,District,5.85516295,-0.8089562448565,77498,25.7,42.5,24.11,75.89,30.19,47.31,72.11,0,ASENE AKROSO MANSO,0
102,Asuogyaman,EASTERN,District,6.36279085,0.0952598707485648,101256,21.8,43.1,18.67,81.33,21.4,51.68,63.12,0,ASUOGYAMAN,0
103,Atiwa East,EASTERN,District,6.3954833,-0.597296233359515,64647,18.4,42.4,20.07,79.93,17.86,45.86,71.1,0,ATIWA EAST,0
104,Atiwa West,EASTERN,District,6.20778059999999,-0.635808682575408,61219,18.9,42.5,20.46,79.54,29.79,42.76,71.78,0,ATIWA WEST,0
105,Ayensuano,EASTERN,District,5.94469995,-0.449937193103216,94594,29.1,42.9,27.38,72.62,46.51,42.7,74.96,0,AYENSUANO,0
106,Birim Central Municipal,EASTERN,Municipal,5.97391735,-1.00480959493596,76302,11.9,41.9,13.04,86.96,12.18,51.4,56.69,1,BIRIM CENTRAL MUNICIPAL,0
