district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,admin_urban_class,geojson_district,gap_merged_for_map,improved_water_pct_rgnbc,surface_water_pct_rgnbc,water_over30min_pct_rgnbc,improved_sanitation_pct_rgnbc,open_defecation_pct_rgnbc,female_literacy_pct_rgnbc,male_literacy_pct_rgnbc,area_km2,pop_density,density_approx_flag,urbanicity_z,san_deficit,water_deficit,nwpri_equal,nwpri_pca,nwpri_pc1_var,genuine_dep_pca,oncho_highrisk,trachoma_hist_endemic,ntd_pov_belt,ntd_anchor_resolution,ntd_anchor_confidence,buruli_focus
36,Kwadaso Municipal,ASHANTI,Municipal,6.68059249999999,-1.67467000057054,154526,9.5,42.4,8.43,91.57,21.67,51.14,49.73,1,KWADASO MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,65.38634353153991,2363.3,0,1.501,18.599999999999994,3.299999999999997,-0.864,-1.036,0.605,-1.466,0,0,0,region-broadcast,moderate (literature-ecological),0
37,Mampong Municipal,ASHANTI,Municipal,7.056139,-1.40425,116632,22.5,42.6,20.67,79.33,29.79,53.56,64.19,1,MAMPONG MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,685.510366788643,170.1,0,-0.145,18.599999999999994,3.299999999999997,-0.551,-0.769,0.605,-0.472,0,0,0,region-broadcast,moderate (literature-ecological),0
38,Obuasi East,ASHANTI,Municipal,6.1796409,-1.60356394182495,92401,13.1,42.7,15.48,84.52,17.4,51.29,59.83,1,OBUASI EAST,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,76.3951986198807,1209.5,0,1.082,18.599999999999994,3.299999999999997,-0.874,-0.963,0.605,-1.171,0,0,0,region-broadcast,moderate (literature-ecological),0
39,Obuasi Municipal,ASHANTI,Municipal,6.211542,-1.6894045,104297,11.1,42.8,12.32,87.68,19.66,49.09,54.28,1,OBUASI MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,148.425768709381,702.7,0,0.743,18.599999999999994,3.299999999999997,-0.87,-1.003,0.605,-1.312,0,0,0,region-broadcast,moderate (literature-ecological),0
40,Offinso Municipal,ASHANTI,Municipal,7.05794129999999,-1.73462655987467,137272,23.5,42.8,24.85,75.15,30.81,51.11,70.72,1,OFFINSO MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,598.752123089066,229.3,0,0.042,18.599999999999994,3.299999999999997,-0.521,-0.748,0.605,-0.285,0,0,0,region-broadcast,moderate (literature-ecological),0
41,Offinso North,ASHANTI,District,7.27974815,-1.79832745610104,83440,34.3,41.5,37.39,62.61,33.47,43.79,77.88,0,OFFINSO NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,967.9688685559388,86.2,0,-0.57,18.599999999999994,3.299999999999997,-0.321,-0.526,0.605,0.555,0,0,0,region-broadcast,moderate (literature-ecological),0
42,Oforikrom Municipal,ASHANTI,Municipal,6.672717,-1.5504236985326,213126,10.0,42.8,10.1,89.9,23.01,59.81,39.31,1,OFORIKROM MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,46.2866207902832,4604.5,0,1.919,18.599999999999994,3.299999999999997,-0.837,-1.026,0.605,-1.373,0,0,0,region-broadcast,moderate (literature-ecological),0
43,Old Tafo Municipal,ASHANTI,Municipal,6.74083555,-1.60465968075918,114368,9.2,42.9,11.73,88.27,24.65,45.31,55.64,1,OLD TAFO MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,29.711520212699902,3849.3,0,1.806,18.599999999999994,3.299999999999997,-0.825,-1.042,0.605,-1.324,0,0,0,region-broadcast,moderate (literature-ecological),0
44,Sekyere Afram Plains,ASHANTI,District,7.20286155,-0.592081996515861,33226,50.5,40.8,51.7,48.3,63.4,42.38,83.22,0,SEKYERE AFRAM PLAINS NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,3606.67118219745,9.2,0,-1.97,18.599999999999994,3.299999999999997,0.363,-0.191,0.605,2.063,0,0,0,region-broadcast,moderate (literature-ecological),0
45,Sekyere Central,ASHANTI,District,7.21625465,-1.09955606489201,73228,39.8,42.4,33.02,66.98,52.34,47.72,77.13,0,SEKYERE CENTRAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,1668.84912288109,43.9,0,-0.992,18.599999999999994,3.299999999999997,0.04,-0.412,0.605,0.9,0,0,0,region-broadcast,moderate (literature-ecological),0
